,SMILES,InChIKey,inchi_connectivity,pchembl_value_Mean,Year
25,CN(C)CC#Cc1ccc(OCCCc2c(C(=O)O)nc(N3CCc4c(C3)c(C(=O)Nc3nc5c(cccc5)s3)ccc4)s2)cc1F,CMJXJCGTPSKCLA-UHFFFAOYSA-N,CMJXJCGTPSKCLA,7.06,2014
26,CC(C)C(C(=O)O)N1C(=O)C(=Cc2ccc(Br)cc2)SC1=S,COHIEJLWRGREHV-UHFFFAOYSA-N,COHIEJLWRGREHV,4.99,2001
27,COc1cc(CCCN2CCOCC2)ccc1-c1ccc(C(=O)NS(=O)(=O)c2cc([N+](=O)[O-])c(NCCSc3ccccc3)cc2)cc1,CQROJTWBKHLEEF-UHFFFAOYSA-N,CQROJTWBKHLEEF,6.4,2006
28,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(Oc3ccccc3)cc2)c2ccccc2c1O,CTGZINWTGVOSRK-UHFFFAOYSA-N,CTGZINWTGVOSRK,5.12,2014
29,N#CC1=C2C(=NC1=O)c1cccc3c(Sc4ccc(Br)cc4)ccc2c13,CUHJCLMNTIZWTC-UHFFFAOYSA-N,CUHJCLMNTIZWTC,6.42,2011
30,Cc1ccc(C=CC(=O)Nc2ccc(C(=O)NS(=O)(=O)c3ccc(NCCSc4ccccc4)c([N+](=O)[O-])c3)cc2)cc1,CVFWGBJTNLJJTN-UHFFFAOYSA-N,CVFWGBJTNLJJTN,5.82,2016
31,O=C(NS(=O)(=O)c1ccccc1)C(Cc1ccc(Br)cc1)N1C(=O)C(=Cc2ccc(-c3ccccc3)cc2)SC1=S,CXRBQDDMZGRFEW-UHFFFAOYSA-N,CXRBQDDMZGRFEW,6.28,2015
32,CCCCCCN=C1C(=O)NC2=C1c1c3c2cccc3c(Sc2ccc(N)cc2)cc1,CYNWXFDDCZREMK-UHFFFAOYSA-N,CYNWXFDDCZREMK,7.1,2013
33,CCCCCC1(OC)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,CZLQACGGHTVULL-UHFFFAOYSA-N,CZLQACGGHTVULL,7.7,2007
34,COC1(CC2CCCCC2)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,DCSVWHMROUAKRB-UHFFFAOYSA-N,DCSVWHMROUAKRB,8.18,2007
35,CN(C)CCCCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(C)(C)CC3)cc2)cc1[N+](=O)[O-],DCUPDSTXISCXNY-UHFFFAOYSA-N,DCUPDSTXISCXNY,7.14,2006
36,O=C(Nc1c(O)c(O)c(O)cc1C(=O)NCCCc1ccccc1)c1ccccc1,DINUCAJXYUJGEX-UHFFFAOYSA-N,DINUCAJXYUJGEX,5.09,2013
37,COc1cc(Oc2ccc3C4=C(C#N)C(=O)N=C4c4cccc2c43)ccc1,DJPQAPIYCYUTLR-UHFFFAOYSA-N,DJPQAPIYCYUTLR,4.78,2011
38,CC(C)Oc1ccc(-c2cc(C(=O)O)nn2-c2ccc(C(C)C)cc2)cc1,DMCZSKBVBDIGON-UHFFFAOYSA-N,DMCZSKBVBDIGON,5.28,2016
39,COC1(Cc2ccc(Cl)cc2)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,DQHWJPZEYONOKC-UHFFFAOYSA-N,DQHWJPZEYONOKC,8.57,2007
40,O=C(NS(=O)(=O)c1cc([N+](=O)[O-])c(Cl)cc1)C(Cc1c[nH]c2c1cccc2)N1C(=O)C(=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)SC1=S,DRLAKLBLFLVOAY-UHFFFAOYSA-N,DRLAKLBLFLVOAY,6.12,2015
41,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(C)(C)CC3)cc2)cc1[N+](=O)[O-],DWEHITNKTMMZBR-UHFFFAOYSA-N,DWEHITNKTMMZBR,5.69,2006
42,CN1CCN(CCCNC(=O)c2c(-c3ccccc3)c(-c3ccc(Cl)cc3)cn2CCC(O)CO)CC1,DXJMWRCEEVNUJU-UHFFFAOYSA-N,DXJMWRCEEVNUJU,4.11,2012
43,COC(=O)c1nn(-c2ccc(Oc3ccccc3)cc2)c(-c2ccc(OC(C)C)cc2)c1NC(=O)c1ccc(OC(C)C)cc1,DYUSLCVTUPNKTB-UHFFFAOYSA-N,DYUSLCVTUPNKTB,5.29,2016
44,CC(C)CC(C(=O)O)N1C(=O)C(=Cc2ccc(Br)cc2)SC1=S,DZWDQBUUVQBNOI-UHFFFAOYSA-N,DZWDQBUUVQBNOI,5.13,2007
