,status_influx,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
435,0.0,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,XWLXKKNPFMNSFA-HGQWONQESA-N,XWLXKKNPFMNSFA
436,0.0,Cc1ccsc1CNc1ncccc1C(=O)O,GIDVSGXIJGUURN-UHFFFAOYSA-N,GIDVSGXIJGUURN
437,0.0,Cc1ccsc1CNc1cnccc1C(=O)O,IDVBVEOFBRZZEI-UHFFFAOYSA-N,IDVBVEOFBRZZEI
438,1.0,O=C(O)C1CCC(Oc2nc3c(F)c(-c4ccc(-c5ccccc5)cc4)c(F)cc3[nH]2)CC1,VQFATZDXIHVJSW-UHFFFAOYSA-N,VQFATZDXIHVJSW
439,0.0,NC(CSC(F)(F)C(F)Cl)C(=O)O,GOAYAMWHRINITL-UHFFFAOYSA-N,GOAYAMWHRINITL
440,0.0,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,HUPFGZXOMWLGNK-UHFFFAOYSA-N,HUPFGZXOMWLGNK
441,0.0,O=S(=O)(O)CC(S)CSSCC(S)S(=O)(=O)O,DTOFWAYNEZSATC-UHFFFAOYSA-N,DTOFWAYNEZSATC
442,0.0,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,NNYBQONXHNTVIJ-UHFFFAOYSA-N,NNYBQONXHNTVIJ
443,0.0,NC(CSc1nc2ccccc2s1)C(=O)O,KRBPTLCTECPKGY-UHFFFAOYSA-N,KRBPTLCTECPKGY
444,1.0,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,WREGKURFCTUGRC-POYBYMJQSA-N,WREGKURFCTUGRC
445,0.0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,RUDATBOHQWOJDD-BSWAIDMHSA-N,RUDATBOHQWOJDD
446,0.0,C[C@@H]1C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,GJFCONYVAUNLKB-CXSFZGCWSA-N,GJFCONYVAUNLKB
447,0.0,Oc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314,WIYUZYBFCWCCQJ-IFKAHUTRSA-N,WIYUZYBFCWCCQJ
448,0.0,C=CCN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5,UZHSEJADLWPNLE-OGLQFSJHSA-N,UZHSEJADLWPNLE
449,0.0,CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)C(Cc1ccccc1)C(=O)NCCO,HPZJMUBDEAMBFI-UHFFFAOYSA-N,HPZJMUBDEAMBFI
450,0.0,CC1(C)S[C@@H]2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,AVKUERGKIZMTKX-FOQMGDCRSA-N,AVKUERGKIZMTKX
451,0.0,Cc1cc(-c2nnn(CC3CCC(C(=O)O)CC3)n2)cc(C(=O)NCc2ccc(F)cc2)n1,KOTGODCEORJYIF-UHFFFAOYSA-N,KOTGODCEORJYIF
452,0.0,CC(C)C(N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21,HDOVUKNUBWVHOX-UHFFFAOYSA-N,HDOVUKNUBWVHOX
453,0.0,CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,ORFOPKXBNMVMKC-XPKAQORNSA-O,ORFOPKXBNMVMKC
454,0.0,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,JFPVXVDWJQMJEE-LNUXAPHWSA-N,JFPVXVDWJQMJEE
455,0.0,Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,LQOLIRLGBULYKD-MQBCKMQZSA-N,LQOLIRLGBULYKD
456,0.0,CC1(C)S[C@@H]2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)O,JTWOMNBEOCYFNV-WHUXOIGISA-N,JTWOMNBEOCYFNV
457,0.0,CC1(C)S[C@@H]2C(NC(=O)C(C(=O)O)c3ccsc3)C(=O)N2C1C(=O)O,OHKOGUYZJXTSFX-ROBJAFKPSA-N,OHKOGUYZJXTSFX
458,0.0,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CS[C@H]12)c1csc(N)n1,ZBHXIWJRIFEVQY-PVQCJRHBSA-N,ZBHXIWJRIFEVQY
