,status_pampa,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
784,0.0,CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H](O)CCCC[C@H](O)CCCCC[C@@H](O)CC2=C[C@H](C)OC2=O)O1,XNODZYPOIPVPRF-CGWDHHCXSA-N,XNODZYPOIPVPRF
785,1.0,COc1cc(OC)c2[nH]c3c(c(=O)c2c1)CCCC3,TWFWFFNKXSVFNK-UHFFFAOYSA-N,TWFWFFNKXSVFNK
786,1.0,CCCCCCOc1ccc(C(=O)CCN(C)C)cc1C(C)(C)C,WHMCTDDNPUWOTF-UHFFFAOYSA-N,WHMCTDDNPUWOTF
787,1.0,CCCCCCOc1ccc(C(=O)CCN(C)C)cc1,WDKRRLOQDUKDIJ-UHFFFAOYSA-N,WDKRRLOQDUKDIJ
788,1.0,Cc1ccccc1CN1CCC(C(=O)NCCc2c[nH]c3ccccc23)CC1,VQNHLBHTNLUGAW-UHFFFAOYSA-N,VQNHLBHTNLUGAW
789,0.0,O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCCCNC(CCO)C(=O)O)c1,DTTYAFWXCJLSCM-UHFFFAOYSA-N,DTTYAFWXCJLSCM
790,1.0,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)C1Cc2c([nH]c3ccccc23)CN1,LBOYVYBBAFDIGX-UHFFFAOYSA-N,LBOYVYBBAFDIGX
791,1.0,COc1cc(CCC(=O)/C=C/c2ccc(CNc3c4c(nc5cc(Cl)ccc35)CC3CC(C)=CC4C3)cc2)ccc1O,ANZARKBILMMHER-YRNVUSSQSA-N,ANZARKBILMMHER
792,1.0,CCOC(=O)c1c(-c2cccc(Cl)c2)[nH]c2cccc(OC)c2c1=O,OCDMQCSEJDCYHP-UHFFFAOYSA-N,OCDMQCSEJDCYHP
793,1.0,C#CC(=O)Oc1ccc(CCCCCC)cc1,IAEVDNHEIHTNJR-UHFFFAOYSA-N,IAEVDNHEIHTNJR
794,1.0,O=C(NCCN1CCCC1)c1ccc(-c2cnc3ccc(NCC4CC4)nn23)nc1,RTPQNRJJDVLYPV-UHFFFAOYSA-N,RTPQNRJJDVLYPV
795,1.0,CCCCCCSc1ccc(C(=O)CCN(C)C)c(Cl)c1,FWYRIRWEZJRCCF-UHFFFAOYSA-N,FWYRIRWEZJRCCF
796,1.0,Cc1ccc(-c2nc3ccccc3s2)cc1NC(=O)c1cc([N+](=O)[O-])c(N2CCN(C)CC2)cc1Cl,VYORSAKQRKOOSR-UHFFFAOYSA-N,VYORSAKQRKOOSR
