,Activity_ID,Quality,source,CID,SMILES,connectivity,InChIKey,InChI,InChI_AuxInfo,target_id,TID,accession,Protein_Type,AID,doc_id,Year,all_doc_ids,all_years,type_IC50,type_EC50,type_KD,type_Ki,type_other,Activity_class,relation,pchembl_value,pchembl_value_Mean,pchembl_value_StdDev,pchembl_value_SEM,pchembl_value_N,pchembl_value_Median,pchembl_value_MAD
66017,DQHWJPZEYONOKC_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.68239,COC1(Cc2ccc(Cl)cc2)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(CCN(C)C)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1,DQHWJPZEYONOKC,DQHWJPZEYONOKC-UHFFFAOYSA-N,"InChI=1S/C38H44ClN5O6S2/c1-42(2)22-19-31(27-51-33-7-5-4-6-8-33)40-35-18-17-34(25-36(35)44(46)47)52(48,49)41-37(45)29-11-15-32(16-12-29)43-23-20-38(50-3,21-24-43)26-28-9-13-30(39)14-10-28/h4-18,25,31,40H,19-24,26-27H2,1-3H3,(H,41,45)","""AuxInfo=1/1/N:34,35,1,41,40,42,39,43,6,11,17,49,7,10,16,50,26,27,31,12,52,32,13,51,48,4,36,5,18,8,30,15,38,25,28,44,19,3,9,29,21,33,14,45,20,46,47,23,24,2,37,22/E:(1,2)(5,6)(7,8)(9,10)(11,12)(13,14)(15,16)(20,21)(23,24)(46,47)(48,49)/CRV:44.5,52.6/rA:52COCCCCCCClCCCCNCCCCCONSOOCCCCNCCCNCCCSCCCCCCCN+OO-CCCCC/rB:s1;s2;s3;s4;d5;s6;d7;s8;s8;s5d10;s3;s12;s13;s14;d15;s16;d17;s18;d19;s19;s21;d22;d22;s22;d25;s26;d27;s28;s29;s30;s31;s32;s33;s33;s30;s36;s37;d38;s39;d40;s41;s38d42;s28;s44;d45;s45;s25d44;s18;s15d49;s14;s3s51;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860;EntrezID:596,P10415,WT,CHEMBL909602,PMID:17256834,2007.0,PMID:17256834,2007,0,0,0,1,,,=,8.57,8.57,0.0,0.0,1.0,8.57,0.0
66632,DRLAKLBLFLVOAY_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.257531,O=C(NS(=O)(=O)c1cc([N+](=O)[O-])c(Cl)cc1)C(Cc1c[nH]c2c1cccc2)N1C(=O)C(=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)cc2)SC1=S,DRLAKLBLFLVOAY,DRLAKLBLFLVOAY-UHFFFAOYSA-N,"InChI=1S/C33H22ClN5O8S3/c34-26-14-13-24(17-28(26)39(44)45)50(46,47)36-31(40)29(16-22-18-35-27-4-2-1-3-25(22)27)37-32(41)30(49-33(37)48)15-19-5-7-20(8-6-19)21-9-11-23(12-10-21)38(42)43/h1-15,17-18,29,35H,16H2,(H,36,40)","""AuxInfo=1/1/N:25,26,24,27,34,47,35,46,38,45,39,44,16,15,32,18,8,20,33,36,37,19,40,7,23,13,22,9,17,31,2,29,49,14,21,3,28,41,10,1,30,42,43,11,12,5,6,50,48,4/E:(5,6)(7,8)(9,10)(11,12)(42,43)(44,45)(46,47)/CRV:38.5,39.5,50.6/rA:50OCNSOOCCCN+OO-CClCCCCCCNCCCCCCNCOCCCCCCCCCCN+OO-CCCCSCS/rB:d1;s2;s3;d4;d4;s4;d7;s8;s9;d10;s10;d9;s13;s13;s7d15;s2;s17;s18;d19;s20;s21;s19d22;s23;d24;s25;s22d26;s17;s28;d29;s29;w?31;s32;d33;s34;d35;s36;d37;s38;d39;s40;d41;s41;s40;s37d44;s36;s33d46;s31;s28s48;d49;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL3405857,PMID:25818766,2015.0,PMID:25818766,2015,0,0,0,1,,,=,6.12,6.12,0.0,0.0,1.0,6.12,0.0
67894,DTSFWGSGVLNQNG_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.407791,O=C(O)c1c(NS(=O)(=O)N2CCN(c3ccccc3)CC2)ccc(SCCc2ccccc2)c1,DTSFWGSGVLNQNG,DTSFWGSGVLNQNG-UHFFFAOYSA-N,"InChI=1S/C25H27N3O4S2/c29-25(30)23-19-22(33-18-13-20-7-3-1-4-8-20)11-12-24(23)26-34(31,32)28-16-14-27(15-17-28)21-9-5-2-6-10-21/h1-12,19,26H,13-18H2,(H,29,30)","""AuxInfo=1/1/N:31,17,30,32,16,18,29,33,15,19,23,22,27,12,20,11,21,26,34,28,14,24,4,5,2,6,13,10,1,3,8,9,25,7/E:(3,4)(5,6)(7,8)(9,10)(14,15)(16,17)(29,30)(31,32)/CRV:34.6/rA:34OCOCCNSOONCCNCCCCCCCCCCCSCCCCCCCCC/rB:d1;s2;s2;d4;s5;s6;d7;d7;s7;s10;s11;s12;s13;d14;s15;d16;s17;s14d18;s13;s10s20;s5;d22;s23;s24;s25;s26;s27;d28;s29;d30;s31;s28d32;s4d24;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL4344317,PMID:31971799,2020.0,PMID:31971799,2020,0,0,0,1,,,=,4.93,4.93,0.0,0.0,1.0,4.93,0.0
69289,DWEHITNKTMMZBR_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.52965;ChEMBL31.compound.52965;ChEMBL31.compound.52965;ChEMBL31.compound.52949;ChEMBL31.compound.52965,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(C)(C)CC3)cc2)cc1[N+](=O)[O-],DWEHITNKTMMZBR,DWEHITNKTMMZBR-UHFFFAOYSA-N,"InChI=1S/C32H41N5O5S2/c1-32(2)17-20-36(21-18-32)26-12-10-24(11-13-26)31(38)34-44(41,42)28-14-15-29(30(22-28)37(39)40)33-25(16-19-35(3)4)23-43-27-8-6-5-7-9-27/h5-15,22,25,33H,16-21,23H2,1-4H3,(H,34,38)","""AuxInfo=1/1/N:34,35,1,3,12,11,13,10,14,27,39,28,38,18,17,5,32,36,4,31,37,40,7,26,6,29,9,19,16,41,24,33,15,23,2,30,42,25,43,44,21,22,8,20/E:(1,2)(3,4)(6,7)(8,9)(10,11)(12,13)(17,18)(20,21)(39,40)(41,42)/CRV:37.5,44.6/rA:44CNCCCCCSCCCCCCNCCCCSOONCOCCCCNCCCCCCCCCCCN+OO-/rB:s1;s2;s2;s4;s5;s6;s7;s8;d9;s10;d11;s12;s9d13;s6;s15;d16;s17;d18;s19;d20;d20;s20;s23;d24;s24;d26;s27;d28;s29;s30;s31;s32;s33;s33;s33;s30s36;s29;s26d38;s19;s16d40;s41;d42;s42;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860;ChEMBL:CHEMBL4860;ChEMBL:CHEMBL4860;ChEMBL:CHEMBL4860;ChEMBL:CHEMBL4860;EntrezID:596;EntrezID:596,P10415,WT,CHEMBL909605;CHEMBL909607;CHEMBL909609;CHEMBL859052;CHEMBL909602,PMID:16451081,2006.0,PMID:17256834;PMID:17256834;PMID:17256834;PMID:16451081;PMID:17256834,2007;2007;2007;2006;2007,0;0;0;0;0,1;1;1;0;0,0;0;0;0;0,0;0;0;1;1,,,=,5.14;4.96;5.28;5.9;7.17,5.69,0.8997221793420453,0.402367990774614,5.0,5.28,0.3200000000000003
70252,DXJMWRCEEVNUJU_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.184974,CN1CCN(CCCNC(=O)c2c(-c3ccccc3)c(-c3ccc(Cl)cc3)cn2CCC(O)CO)CC1,DXJMWRCEEVNUJU,DXJMWRCEEVNUJU-UHFFFAOYSA-N,"InChI=1S/C29H37ClN4O3/c1-32-16-18-33(19-17-32)14-5-13-31-29(37)28-27(23-6-3-2-4-7-23)26(22-8-10-24(30)11-9-22)20-34(28)15-12-25(36)21-35/h2-4,6-11,20,25,35-36H,5,12-19,21H2,1H3,(H,31,37)","""AuxInfo=1/1/N:1,17,16,18,7,15,19,22,27,23,26,31,8,6,30,3,37,4,36,28,34,21,14,24,32,20,13,12,10,25,9,2,5,29,35,33,11/E:(3,4)(6,7)(8,9)(10,11)(16,17)(18,19)/rA:37CNCCNCCCNCOCCCCCCCCCCCCCClCCCNCCCOCOCC/rB:s1;s2;s3;s4;s5;s6;s7;s8;s9;d10;s10;d12;s13;d14;s15;d16;s17;s14d18;s13;s20;d21;s22;d23;s24;s24;s21d26;d20;s12s28;s29;s30;s31;s32;s32;s34;s5;s2s36;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL2066619,PMID:22448988,2012.0,PMID:22448988,2012,0,0,0,1,,,=,4.11,4.11,0.0,0.0,1.0,4.11,0.0
71257,DYUSLCVTUPNKTB_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.298995,COC(=O)c1nn(-c2ccc(Oc3ccccc3)cc2)c(-c2ccc(OC(C)C)cc2)c1NC(=O)c1ccc(OC(C)C)cc1,DYUSLCVTUPNKTB,DYUSLCVTUPNKTB-UHFFFAOYSA-N,"InChI=1S/C36H35N3O6/c1-23(2)43-29-17-11-25(12-18-29)34-32(37-35(40)26-13-19-30(20-14-26)44-24(3)4)33(36(41)42-5)38-39(34)27-15-21-31(22-16-27)45-28-9-7-6-8-10-28/h6-24H,1-5H3,(H,37,40)","""AuxInfo=1/1/N:28,29,42,43,1,16,15,17,14,18,23,31,37,45,9,20,24,30,38,44,10,19,27,41,22,36,8,13,25,39,11,32,5,21,34,3,33,6,7,35,4,2,26,40,12/E:(1,2)(3,4)(7,8)(9,10)(11,12)(13,14)(15,16)(17,18)(19,20)(21,22)/rA:45COCOCNNCCCCOCCCCCCCCCCCCCOCCCCCCNCOCCCCOCCCCC/rB:s1;s2;d3;s3;d5;s6;s7;d8;s9;d10;s11;s12;d13;s14;d15;s16;s13d17;s11;s8d19;s7;s21;d22;s23;d24;s25;s26;s27;s27;s25;s22d30;s5d21;s32;s33;d34;s34;d36;s37;d38;s39;s40;s41;s41;s39;s36d44;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL3801198,PMID:26982372,2016.0,PMID:26982372,2016,0,0,0,1,,,=,5.29,5.29,0.0,0.0,1.0,5.29,0.0
72274,DZWDQBUUVQBNOI_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.76785,CC(C)CC(C(=O)O)N1C(=O)C(=Cc2ccc(Br)cc2)SC1=S,DZWDQBUUVQBNOI,DZWDQBUUVQBNOI-UHFFFAOYSA-N,"InChI=1S/C16H16BrNO3S2/c1-9(2)7-12(15(20)21)18-14(19)13(23-16(18)22)8-10-3-5-11(17)6-4-10/h3-6,8-9,12H,7H2,1-2H3,(H,20,21)","""AuxInfo=1/1/N:1,3,15,20,16,19,4,13,2,14,17,5,12,10,6,22,18,9,11,7,8,23,21/E:(1,2)(3,4)(5,6)(20,21)/rA:23CCCCCCOONCOCCCCCCBrCCSCS/rB:s1;s2;s2;s4;s5;d6;s6;s5;s9;d10;s10;w?12;s13;d14;s15;d16;s17;s17;s14d19;s12;s9s21;d22;/rC:;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL891868,PMID:17227711,2007.0,PMID:17227711,2007,0,0,0,1,,,=,5.13,5.13,0.0,0.0,1.0,5.13,0.0
72388,FABUFPQFXZVHFB_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.465153,CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1,FABUFPQFXZVHFB,FABUFPQFXZVHFB-UHFFFAOYSA-N,"InChI=1S/C27H42N2O5S/c1-15-9-8-10-27(7)22(34-27)12-20(16(2)11-19-14-35-18(4)28-19)29-23(31)13-21(30)26(5,6)25(33)17(3)24(15)32/h11,14-15,17,20-22,24,30,32H,8-10,12-13H2,1-7H3,(H,29,31)","""AuxInfo=1/1/N:20,1,24,8,28,29,15,17,18,16,3,11,32,5,19,2,23,7,4,10,30,12,33,21,25,27,14,9,35,31,34,22,26,13,6/E:(5,6)/rA:35CCCCCSCCNCCCOCCCCCCCCOCCCOCCCCOCCON/rB:s1;w?2;s3;d4;s5;s6;s7;s4d7;s2;s10;s11;s12;s12s13;s14;s14;s16;s17;s18;s19;s19;s21;s21;s23;s23;d25;s25;s27;s27;s27;s30;s30;s32;d33;s10s33;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL4770388,PMID:32428794,2020.0,PMID:32428794,2020,0,0,1,0,,,=,6.47,6.47,0.0,0.0,1.0,6.47,0.0
72807,FARGPDWBASZQBS_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.154063,Cc1ccc(Oc2ccc3C4=C(C#N)C(=O)N=C4c4cccc2c43)cc1,FARGPDWBASZQBS,FARGPDWBASZQBS-UHFFFAOYSA-N,"InChI=1S/C22H12N2O2/c1-12-5-7-13(8-6-12)26-18-10-9-15-19-14(18)3-2-4-16(19)21-20(15)17(11-23)22(25)24-21/h2-10H,1H3","""AuxInfo=1/0/N:1,21,22,20,3,26,4,25,9,8,13,2,5,23,10,19,12,7,24,11,18,15,14,17,16,6/E:(5,6)(7,8)/rA:26CCCCCOCCCCCCCNCONCCCCCCCCC/rB:s1;d2;s3;d4;s5;s6;d7;s8;d9;s10;w?11;s12;t13;s12;d15;s15;s11w?17;s18;d19;s20;d21;s7s22;s10s19d23;s5;s2d25;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860;EntrezID:596,P10415,WT,CHEMBL1827900,PMID:21684048,2011.0,PMID:21684048,2011,0,0,0,1,,,=,6.35,6.35,0.0,0.0,1.0,6.35,0.0
72988,FAXHWWPCICIRHY_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.93527,COc1c(C=C2N=C(C)C=C2C)[nH]c(-c2cc3c(cccc3)[nH]2)c1,FAXHWWPCICIRHY,FAXHWWPCICIRHY-UHFFFAOYSA-N,"InChI=1S/C20H19N3O/c1-12-8-13(2)21-16(12)10-19-20(24-3)11-18(23-19)17-9-14-6-4-5-7-15(14)22-17/h4-11,22-23H,1-3H3","""AuxInfo=1/0/N:12,9,1,21,20,22,19,10,16,5,24,11,8,17,18,6,15,14,4,3,7,23,13,2/rA:24COCCCCNCCCCCNCCCCCCCCCNC/rB:s1;s2;d3;s4;w?5;s6;w?7;s8;s8;s6w?10;s11;s4;s13;s14;d15;s16;d17;s18;d19;s20;s17d21;s15s18;s3d14;/rC:;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860;ChEMBL:CHEMBL4860,P10415,WT,CHEMBL4398456,PMID:23047228,2012.0,PMID:31129454,2019,0,0,0,1,,,=,5.96,5.96,0.0,0.0,1.0,5.96,0.0
73771,FCCICGZGYLPBLZ_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.415354,CCNS(=O)(=O)c1cccc(-c2nc(NC(C)C(=O)O)c3c(-c4cc(Oc5ccc(F)cc5)ccc4)c(CC)sc3n2)c1,FCCICGZGYLPBLZ,FCCICGZGYLPBLZ-UHFFFAOYSA-N,"InChI=1S/C31H29FN4O5S2/c1-4-25-26(19-8-6-10-23(16-19)41-22-14-12-21(32)13-15-22)27-29(34-18(3)31(37)38)35-28(36-30(27)42-25)20-9-7-11-24(17-20)43(39,40)33-5-2/h6-18,33H,4-5H2,1-3H3,(H,37,38)(H,34,35,36)","""AuxInfo=1/1/N:39,1,17,38,2,35,9,36,10,34,8,29,32,28,33,24,43,16,23,11,30,27,25,7,37,22,21,12,14,41,18,31,3,15,13,42,19,20,5,6,26,40,4/E:(12,13)(14,15)(37,38)(39,40)/CRV:43.6/rA:43CCNSOOCCCCCCNCNCCCOOCCCCCOCCCCFCCCCCCCCSCNC/rB:s1;s2;s3;d4;d4;s4;d7;s8;d9;s10;s11;d12;s13;s14;s15;s16;s16;d18;s18;d14;s21;s22;d23;s24;s25;s26;d27;s28;d29;s30;s30;s27d32;d25;s34;s23d35;d22;s37;s38;s37;s21s40;s12d41;s7d11;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL4375085,PMID:31339316,2019.0,PMID:31339316,2019,0,0,0,1,,,=,5.89,5.89,0.0,0.0,1.0,5.89,0.0
77008,FHAPCOWJLYRGAU_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.257528,Cc1ccc(-c2ccc(C=C3SC(=S)N(C(Cc4c[nH]c5c4cccc5)C(=O)NS(=O)(=O)c4ccc([N+](=O)[O-])cc4)C3=O)cc2)cc1,FHAPCOWJLYRGAU,FHAPCOWJLYRGAU-UHFFFAOYSA-N,"InChI=1S/C34H26N4O6S3/c1-21-6-10-23(11-7-21)24-12-8-22(9-13-24)18-31-33(40)37(34(45)46-31)30(19-25-20-35-29-5-3-2-4-28(25)29)32(39)36-47(43,44)27-16-14-26(15-17-27)38(41)42/h2-18,20,30,35H,19H2,1H3,(H,36,39)","""AuxInfo=1/1/N:1,24,25,23,26,3,47,8,44,4,46,7,45,35,40,34,41,10,17,19,2,9,5,6,18,36,33,22,21,16,11,27,42,13,20,29,15,37,28,43,38,39,31,32,14,12,30/E:(6,7)(8,9)(10,11)(12,13)(14,15)(16,17)(41,42)(43,44)/CRV:38.5,47.6/rA:47CCCCCCCCCCCSCSNCCCCNCCCCCCCONSOOCCCCN+OO-CCCOCCCC/rB:s1;d2;s3;d4;s5;d6;s7;d8;s9;w?10;s11;s12;d13;s13;s15;s16;s17;d18;s19;s20;s18d21;s22;d23;s24;s21d25;s16;d27;s27;s29;d30;d30;s30;d33;s34;d35;s36;d37;s37;s36;s33d40;s11s15;d42;s9;s6d44;s5;s2d46;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL3405857,PMID:25818766,2015.0,PMID:25818766,2015,0,0,0,1,,,=,6.14,6.14,0.0,0.0,1.0,6.14,0.0
78058,FIFOMEJSIJQOII_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.68250,CN(C)CCC(CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCC(=Cc4ccc(C(F)(F)F)cc4)CC3)cc2)cc1[N+](=O)[O-],FIFOMEJSIJQOII,FIFOMEJSIJQOII-UHFFFAOYSA-N,"InChI=1S/C38H40F3N5O5S2/c1-44(2)21-20-31(26-52-33-6-4-3-5-7-33)42-35-17-16-34(25-36(35)46(48)49)53(50,51)43-37(47)29-10-14-32(15-11-29)45-22-18-28(19-23-45)24-27-8-12-30(13-9-27)38(39,40)41/h3-17,24-25,31,42H,18-23,26H2,1-2H3,(H,43,47)","""AuxInfo=1/1/N:1,3,12,11,13,10,14,36,44,27,48,37,43,28,47,18,17,32,45,5,4,31,46,34,49,7,35,33,26,38,6,29,9,19,16,50,24,39,40,41,42,15,23,2,30,51,25,52,53,21,22,8,20/E:(1,2)(4,5)(6,7)(8,9)(10,11)(12,13)(14,15)(18,19)(22,23)(39,40,41)(48,49)(50,51)/CRV:46.5,53.6/rA:53CNCCCCCSCCCCCCNCCCCSOONCOCCCCNCCCCCCCCCFFFCCCCCCCCN+OO-/rB:s1;s2;s2;s4;s5;s6;s7;s8;d9;s10;d11;s12;s9d13;s6;s15;d16;s17;d18;s19;d20;d20;s20;s23;d24;s24;d26;s27;d28;s29;s30;s31;s32;w?33;s34;d35;s36;d37;s38;s39;s39;s39;s38;s35d43;s33;s30s45;s29;s26d47;s19;s16d49;s50;d51;s51;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,EntrezID:596;ChEMBL:CHEMBL4860,P10415,WT,CHEMBL909602,PMID:17256834,2007.0,PMID:17256834,2007,0,0,0,1,,,=,8.03,8.03,0.0,0.0,1.0,8.03,0.0
78064,FIFUZOWYLOVRTK_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.271974,O=C(O)c1ccc(COc2ccc(C=C3SC(=S)N(c4cccc([N+](=O)[O-])c4)C3=O)cc2)cc1,FIFUZOWYLOVRTK,FIFUZOWYLOVRTK-UHFFFAOYSA-N,"InChI=1S/C24H16N2O6S2/c27-22-21(34-24(33)25(22)18-2-1-3-19(13-18)26(30)31)12-15-6-10-20(11-7-15)32-14-16-4-8-17(9-5-16)23(28)29/h1-13H,14H2,(H,28,29)","""AuxInfo=1/1/N:22,21,23,6,33,12,31,5,34,11,32,14,28,8,13,7,4,20,24,10,15,29,2,17,19,25,30,1,3,26,27,9,18,16/E:(4,5)(6,7)(8,9)(10,11)(28,29)(30,31)/CRV:26.5/rA:34OCOCCCCCOCCCCCCSCSNCCCCCN+OO-CCOCCCC/rB:d1;s2;s2;d4;s5;d6;s7;s8;s9;d10;s11;d12;s13;w?14;s15;s16;d17;s17;s19;d20;s21;d22;s23;s24;d25;s25;s20d24;s15s19;d29;s13;s10d31;s7;s4d33;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL3631163,PMID:26421995,2015.0,PMID:26421995,2015,0,0,0,1,,,=,5.02,5.02,0.0,0.0,1.0,5.02,0.0
78067,FIFXTAZOBYNZDX_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.392549,CC(C)(C)OC(=O)NC(Cc1ccc(OCc2ccc(-c3ccccc3)cc2)cc1)C(=O)NS(=O)(=O)c1ccccc1,FIFXTAZOBYNZDX,FIFXTAZOBYNZDX-UHFFFAOYSA-N,"InChI=1S/C33H34N2O6S/c1-33(2,3)41-32(37)34-30(31(36)35-42(38,39)29-12-8-5-9-13-29)22-24-16-20-28(21-17-24)40-23-25-14-18-27(19-15-25)26-10-6-4-7-11-26/h4-21,30H,22-23H2,1-3H3,(H,34,37)(H,35,36)","""AuxInfo=1/1/N:1,3,4,24,40,23,25,39,41,22,26,38,42,18,28,12,30,19,27,13,29,10,16,11,17,21,20,14,37,9,31,6,2,8,33,32,7,35,36,15,5,34/E:(1,2,3)(6,7)(8,9)(10,11)(12,13)(14,15)(16,17)(18,19)(20,21)(38,39)/CRV:42.6/rA:42CCCCOCONCCCCCCOCCCCCCCCCCCCCCCCONSOOCCCCCC/rB:s1;s2;s2;s2;s5;d6;s6;s8;s9;s10;d11;s12;d13;s14;s15;s16;d17;s18;d19;s20;d21;s22;d23;s24;s21d25;s20;s17d27;s14;s11d29;s9;d31;s31;s33;d34;d34;s34;d37;s38;d39;s40;s37d41;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL4236686,PMID:30170927,2018.0,PMID:30170927,2018,0,0,0,1,,,=,5.28,5.28,0.0,0.0,1.0,5.28,0.0
79559,FKXWXYXUWSNWMO_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.370034,COc1cc2c(cc1)n(-c1ccc(-c3ccccc3)cc1)c(C)c2CC(=O)NS(=O)(=O)c1cc([N+](=O)[O-])c(Cl)cc1,FKXWXYXUWSNWMO,FKXWXYXUWSNWMO-UHFFFAOYSA-N,"InChI=1S/C30H24ClN3O6S/c1-19-25(18-30(35)32-41(38,39)24-13-14-27(31)29(17-24)34(36)37)26-16-23(40-2)12-15-28(26)33(19)22-10-8-21(9-11-22)20-6-4-3-5-7-20/h3-17H,18H2,1-2H3,(H,32,35)","""AuxInfo=1/1/N:23,1,17,16,18,15,19,12,20,11,21,8,41,40,7,4,33,25,22,14,13,10,3,32,24,5,38,6,34,26,39,28,9,35,27,36,37,30,31,2,29/E:(4,5)(6,7)(8,9)(10,11)(36,37)(38,39)/CRV:34.5,41.6/rA:41COCCCCCCNCCCCCCCCCCCCCCCCCONSOOCCCN+OO-CClCC/rB:s1;s2;d3;s4;d5;s6;s3d7;s6;s9;d10;s11;d12;s13;d14;s15;d16;s17;s14d18;s13;s10d20;s9;s22;s5d22;s24;s25;d26;s26;s28;d29;d29;s29;d32;s33;s34;d35;s35;d34;s38;s38;s32d40;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,ChEMBL:CHEMBL4860,P10415,WT,CHEMBL4046937,PMID:28866374,2017.0,PMID:28866374,2017,0,0,0,1,,,=,6.14,6.14,0.0,0.0,1.0,6.14,0.0
79562,FKXZASURJKOHMN_on_P10415_WT,High,ChEMBL31,ChEMBL31.compound.52938,COc1cc(CCCN2CCOCC2)ccc1-c1ccc(C(=O)NS(=O)(=O)c2ccc(NC(CCCCN)CSc3ccccc3)c([N+](=O)[O-])c2)cc1,FKXZASURJKOHMN,FKXZASURJKOHMN-UHFFFAOYSA-N,"InChI=1S/C39H47N5O7S2/c1-50-38-26-29(8-7-21-43-22-24-51-25-23-43)12-18-35(38)30-13-15-31(16-14-30)39(45)42-53(48,49)34-17-19-36(37(27-34)44(46)47)41-32(9-5-6-20-40)28-52-33-10-3-2-4-11-33/h2-4,10-19,26-27,32,41H,5-9,20-25,28,40H2,1H3,(H,42,45)","""AuxInfo=1/1/N:1,44,43,45,35,36,7,6,34,42,46,15,19,53,20,52,29,16,30,37,8,10,14,11,13,4,51,39,5,18,21,33,41,28,17,31,47,3,22,38,32,24,9,48,23,49,50,26,27,2,12,40,25/E:(3,4)(10,11)(13,14)(15,16)(22,23)(24,25)(46,47)(48,49)/CRV:44.5,53.6/rA:53COCCCCCCNCCOCCCCCCCCCCONSOOCCCCNCCCCCNCSCCCCCCCN+OO-CCC/rB:s1;s2;d3;s4;s5;s6;s7;s8;s9;s10;s11;s12;s9s13;d5;s15;s3d16;s17;d18;s19;d20;s21;d22;s22;s24;d25;d25;s25;d28;s29;d30;s31;s32;s33;s34;s35;s36;s37;s33;s39;s40;d41;s42;d43;s44;s41d45;s31;s47;d48;s48;s28d47;s21;s18d52;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;""",P10415_WT,EntrezID:596;ChEMBL:CHEMBL4860,P10415,WT,CHEMBL859052,PMID:16451081,2006.0,PMID:16451081,2006,0,0,0,1,,,=,7.16,7.16,0.0,0.0,1.0,7.16,0.0
