molregno,pchembl_value,canonical_smiles,standard_inchi_key,accession
284041,5.39,COc1ccc(NC(=O)Cc2cccc(-n3c(=O)c4c(C)onc4c4c(Cl)cccc43)c2)cc1OC,NWFSDIOIAROJIP-UHFFFAOYSA-N,P08183
284836,5.4,Cc1onc2c1c(=O)n(-c1cccc(CC(=O)Nc3ccc4c(c3)OCO4)c1)c1cccc(Cl)c21,LSULXIBJDKNBQA-UHFFFAOYSA-N,P08183
284739,5.31,Cc1onc2c1c(=O)n(-c1cccc(CC(=O)Nc3ccc(C#N)cc3)c1)c1cccc(Cl)c21,OIJRANHRCJBGFV-UHFFFAOYSA-N,P08183
284950,5.68,COc1cc(NC(=O)Cc2cccc(-n3c(=O)c4c(C)onc4c4c(Cl)cccc43)c2)cc(OC)c1,PUYXWOQKVYLFSJ-UHFFFAOYSA-N,P08183
284262,5.64,Cc1onc2c1c(=O)n(-c1cccc(CC(=O)Nc3ccccc3)c1)c1cccc(Cl)c21,DLTSQCDSIQQMDN-UHFFFAOYSA-N,P08183
284983,5,Cc1cc(C(=O)N[C@@H]2c3cc(-n4c(=O)c5c(C)onc5c5c(Cl)cccc54)ccc3C[C@H]2O)no1,RWXUAYIHZJBLNI-DENIHFKCSA-N,P08183
284642,5.75,COc1cc(CNCc2cccc(-n3c(=O)c4c(C)onc4c4c(Cl)cccc43)c2)cc(OC)c1OC,NUHIHCNVIKXCOA-UHFFFAOYSA-N,P08183
284984,6.19,COc1cc(N(C)C(=O)Cc2cccc(-n3c(=O)c4c(C)onc4c4c(Cl)cccc43)c2)cc(OC)c1OC,AFRUTEYMLMTACQ-UHFFFAOYSA-N,P08183
285110,5.83,COc1cc(OCCc2cccc(-n3c(=O)c4c(C)onc4c4c(Cl)cccc43)c2)cc(OC)c1OC,XFNRXCIVPQUDRI-UHFFFAOYSA-N,P08183
284858,5.1,Cc1cc(C(=O)NCc2cccc(-n3c(=O)c4c(C)onc4c4c(Cl)cccc43)c2)no1,WOJRZGAQFSZIDL-UHFFFAOYSA-N,P08183
283766,5.43,Cc1ccc(NC(=O)Cc2cccc(-n3c(=O)c4c(C)onc4c4c(Cl)cccc43)c2)cc1,DTTBWUSVRGKJHN-UHFFFAOYSA-N,P08183
284609,5.5,Cc1onc2c1c(=O)n(-c1cccc(CC(=O)Nc3ccc(F)cc3)c1)c1cccc(Cl)c21,BFPBZEVHJNRWNH-UHFFFAOYSA-N,P08183
284764,6.05,COc1cc(NC(=O)Cc2cccc(-n3c(=O)c4c(C)onc4c4c(Cl)cccc43)c2)cc(OC)c1OC,PBHNQPNTZGNYBI-UHFFFAOYSA-N,P08183
