,SMILES_raw,status_efflux,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
1651,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,Non-substrate,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,SZRPDCCEHVWOJX-UHFFFAOYSA-N,SZRPDCCEHVWOJX
1652,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,Substrate,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,SGRYPYWGNKJSDL-UHFFFAOYSA-N,SGRYPYWGNKJSDL
1653,O=C([O-])CCC/C=C\CC1C(O)CC(O)C1/C=C/C(O)COc1cccc(Cl)c1.[Na+],Substrate,O=C(O)CCC/C=C\CC1C(O)CC(O)C1/C=C/C(O)COc1cccc(Cl)c1,VJGGHXVGBSZVMZ-YVKATYTESA-N,VJGGHXVGBSZVMZ
1654,NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,Substrate,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,OZWKMVRBQXNZKK-UHFFFAOYSA-N,OZWKMVRBQXNZKK
1655,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,Substrate,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,PUXBGTOOZJQSKH-UHFFFAOYSA-N,PUXBGTOOZJQSKH
1656,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,Substrate,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,TYNLGDBUJLVSMA-UHFFFAOYSA-N,TYNLGDBUJLVSMA
1657,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,Substrate,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,XCPGHVQEEXUHNC-UHFFFAOYSA-N,XCPGHVQEEXUHNC
1658,O=C(O)Cc1ccc(-c2ccccc2)cc1,Substrate,O=C(O)Cc1ccc(-c2ccccc2)cc1,QRZAKQDHEVVFRX-UHFFFAOYSA-N,QRZAKQDHEVVFRX
1659,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,Substrate,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,JFJZZMVDLULRGK-URLMMPGGSA-O,JFJZZMVDLULRGK
1660,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,Substrate,CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,TVQZAMVBTVNYLA-UHFFFAOYSA-N,TVQZAMVBTVNYLA
1661,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,Non-substrate,C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)[C@H]2SC1,RTXOFQZKPXMALH-LESKNEHBSA-N,RTXOFQZKPXMALH
1662,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,Non-substrate,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,OFPXSFXSNFPTHF-UHFFFAOYSA-N,OFPXSFXSNFPTHF
1663,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,Non-substrate,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,OPXLLQIJSORQAM-UHFFFAOYSA-N,OPXLLQIJSORQAM
1664,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,Non-substrate,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,RRGUKTPIGVIEKM-UHFFFAOYSA-N,RRGUKTPIGVIEKM
1665,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,Non-substrate,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,XQYZDYMELSJDRZ
1666,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+],Non-substrate,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,GPRBEKHLDVQUJE-LNUXAPHWSA-N,GPRBEKHLDVQUJE
1667,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,Non-substrate,CON=C(C(=O)NC1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1,KEJCWVGMRLCZQQ-PAPUNJSCSA-N,KEJCWVGMRLCZQQ
1668,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1.[Na+],Non-substrate,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)[C@H]3SC2)s1,MLYYVTUWGNIJIB-FFFFSGIJSA-N,MLYYVTUWGNIJIB
1669,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,Non-substrate,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MHWLWQUZZRMNGJ-UHFFFAOYSA-N,MHWLWQUZZRMNGJ
