,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
779,853,Cc1cc(=O)oc2cc(OS(=O)(=O)O)ccc12,0.0,1.0,,,,-0.92,98.28,0.59,-3.43,5,1,256.004158976,2,Test,Test,,,,0000000000000000000000000000000000000011000000010000001011011000001010001000000000000001100000000100010011000001100000000011111001000001101100101101000101001011011110,0.0400732792913914,0.0,0.159497484564781,0.0,0.344327598810196,0.0,0.974690556526184,1.0,0.712814092636108,1.0,0.83466374874115,1.0,,,,,,,,,,,,,Cc1cc(=O)oc2cc(OS(=O)(=O)O)ccc12,FUYLLJCBCKRIAL-UHFFFAOYSA-N,FUYLLJCBCKRIAL
802,885,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,0.0,1.0,,,,1.46,86.99,-3.34,1.39,5,3,390.240624188,1,Train,Test,,,,0000000000000000000000000000000000000000000000000100100010000100010000000001000000100000111000010010000110011001001101000010001110110000101100101110110111001011001110,0.324319273233414,0.0,0.412964373826981,0.0,0.359279036521912,0.0,0.838985025882721,1.0,0.352802872657776,0.0,0.792567431926727,1.0,,,,,,,,,,,,,C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,SHIBSTMRCDJXLN-KCZCNTNESA-N,SHIBSTMRCDJXLN
805,888,CCCCC[C@H](O)C=C[C@H]1[C@@H](SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)CC(=O)[C@@H]1CCCCCCC(=O)O,,1.0,,,,0.3,258.72,-1.05,-3.35,9,7,643.313865768,24,,Val,,,,0000000000000000000000000000000000000000000000000000010000000001000000000000001011010001011100110011000100010110011111000010001110110001011101100110011111111111100110,,,,,,,0.841081738471985,1.0,0.843201339244843,1.0,0.792567431926727,1.0,,,,,,,,,,,,,CCCCC[C@H](O)C=C[C@@H]1C(CCCCCCC(=O)O)C(=O)C[C@@H]1SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,HXBAELAEMDXAJM-YGPAMADOSA-N,HXBAELAEMDXAJM
810,895,O=C1C(=Cc2ccccc2)CN(C(=O)CCN2CCCCC2)CC1=Cc1ccccc1,,0.0,,,,3.82,40.62,-3.43,3.05,3,0,414.2307282,5,,Test,,,,0000000000000000000000000000000000000000000000000100000000000000000000000011000100001100000100001111000000000110000011011100101110010001110001101011010111110110111110,,,,,,,0.163559153676033,0.0,0.843201339244843,1.0,0.451763361692429,0.0,,,,,,,,,,,,,O=C1C(=Cc2ccccc2)CN(C(=O)CCN2CCCCC2)CC1=Cc1ccccc1,FQEUNMBWPCOHCF-UHFFFAOYSA-N,FQEUNMBWPCOHCF
818,906,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,,1.0,,,,2.29,89.68,-2.12,1.26,7,3,482.195405312,2,,Val,,,,0000000000000000001000000000000000000000001000000000000010000000100000010000001100101000100110111100000110010111000110011100111000111000101111111101111101011111111110,,,,,,,0.759005546569824,1.0,0.795379757881165,1.0,0.611311912536621,1.0,,,,,,,,,,,,,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@@H]4O,PBCZSGKMGDDXIJ-HQCWYSJUSA-N,PBCZSGKMGDDXIJ
822,910,CC(=O)Nc1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1,,1.0,,,,-1.33,145.55,0.49,-5.29,7,5,327.095416504,4,,Test,,,,0000000000000000000000000000000000000000000000000000110010000000000000010000000000000000100100000100000000000100100010000010011000101011101100101100011101011111111110,,,,,,,0.906997323036194,1.0,0.762091219425201,1.0,0.83466374874115,1.0,,,,,,,,,,,,,CC(=O)Nc1ccc(O[C@@H]2OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1,IPROLSVTVHAQLE-VTQSIQTBSA-N,IPROLSVTVHAQLE
823,911,CN[C@@H]1[C@@H](O)[C@@](C)(O[C@@H]2[C@@H](O)[C@H](O[C@H]3C[C@H]([C@@H](C)O)[C@H](O)[C@H](O)[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,,1.0,,,,-3.6,239.16,0.29,-7.22,13,10,508.310828988,6,,Val,,,,0000000000000000000000000000000000000000000000000000110010000000010000010000000100010000111010101100000100011011001100000010011000111000101111101100111110011111101110,,,,,,,0.447892814874649,0.0,0.68997448682785,1.0,0.792567431926727,1.0,,,,,,,,,,,,,CN[C@@H]1[C@@H](O)[C@@](C)(O[C@@H]2[C@@H](O)[C@H](O[C@H]3C[C@H]([C@@H](C)O)[C@H](O)[C@H](O)[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,DQCZBDDQKMSFQE-QPQNDDJYSA-N,DQCZBDDQKMSFQE
826,916,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4C(=O)C[C@@H](c5ccc(O)cc5)Oc4c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,,0.0,,,,-0.28,225.06,-2.45,-0.05,14,8,580.179205704,6,,Val,,,,0000000000000000000000000000000000000000000000000000110010000100000000010000000001000000111000000100000010001000100000010010111000110000101100111100010111101011011110,,,,,,,0.835657060146332,1.0,0.762091219425201,1.0,0.792567431926727,1.0,,,,,,,,,,,,,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,DFPMSGMNTNDNHN-ZPHOTFPESA-N,DFPMSGMNTNDNHN
827,917,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cnccc2)n1,,1.0,,,,3.28,86.28,-3.53,2.65,7,2,493.259008612,7,,Val,,,,0000000000000000000000001000000000000000000000000000100000000100100000000010101100001100000110000101000001000110001111011100100010101010110001011011111011110101111110,,,,,,,0.628427624702454,1.0,0.550166249275208,1.0,0.695844352245331,1.0,,,,,,,,,,,,,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,KTUFNOKKBVMGRW-UHFFFAOYSA-N,KTUFNOKKBVMGRW
829,919,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1c([N+](=O)[O-])cccc1,,0.0,,,,3.58,110.45,-4.7,3.45,7,1,346.116486296,4,,Test,,,,0000000000000000000000010000000000000000000010001100000100000110000001100001000000000000000011001110010000000000000000101111010001001011100111011101111001011111111110,,,,,,,0.155811175704002,0.0,0.268941432237625,0.0,0.333889067173004,0.0,,,,,,,,,,,,,COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],OSUCQKNXQBPLDG-UHFFFAOYSA-N,OSUCQKNXQBPLDG
