,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
3799,4205,C[C@H](Nc1ccc(-c2ccnn2C)nc1)C(=O)Nc1ccc(-c2cccnc2)cn1,,,1.0,,,2.07,97.62,-2.91,1.8,7,2,399.180758292,6,,,Train,,,0000000000000000000000000000000000000100000000000001010000000100100000000010101100100000000111111100000000000100000010011101100000101010100001011001111001010101111110,,,,,,,,,,,,,0.445068866014481,0.0,0.629745662212372,1.0,0.633277535438538,1.0,,,,,,,CC(Nc1ccc(-c2ccnn2C)nc1)C(=O)Nc1ccc(-c2cccnc2)cn1,YBVCMIZESQAPMG-UHFFFAOYSA-N,YBVCMIZESQAPMG
3800,4206,CC(C)=CCC12OC[C@@H]3[C@@H](COC(=O)Cc4ccccc4)[C@@H](C=C4C(=O)c5c(O)cccc5O[C@]431)C2=O,,,1.0,,,5.49,99.13,-5.79,5.24,7,1,500.183503236,6,,,Train,,,0000000000000000001000000100000000000000000000000100000010000000010000010101000000100000100000010110000010001001100100010010111110010001111100111100110111101011011110,,,,,,,,,,,,,0.753709137439728,1.0,0.602378308773041,1.0,0.590731501579285,1.0,,,,,,,CC(C)=CCC12OC[C@@H]3[C@@H](COC(=O)Cc4ccccc4)C(=CC4C(=O)c5c(O)cccc5O[C@]431)C2=O,YKEZJIBGEPTECP-XQRBLEMFSA-N,YKEZJIBGEPTECP
3803,4209,COc1ccc2c(=O)c(C(N)=O)c(-c3ccc4OCOc4c3)[nH]c2c1,,,1.0,,,1.72,99.88,-3.66,2.12,5,2,338.090271548,3,,,Train,,,0000000000000000000000000001000000000000000000000000100010000100100000010000000100110000100110011100000010001100100010011010111000100001100101111100011111011111111110,,,,,,,,,,,,,0.788057863712311,1.0,0.63533478975296,1.0,0.633277535438538,1.0,,,,,,,COc1ccc2c(=O)c(C(N)=O)c(-c3ccc4c(c3)OCO4)[nH]c2c1,RVCWZZWGXXYPBL-UHFFFAOYSA-N,RVCWZZWGXXYPBL
3804,4210,CCCNc1nn2c(-c3ccc(C(=O)NC[C@@H]4C[C@@H](F)CN4)c(F)c3)cnc2cc1,,,1.0,,,1.43,83.34,-2.39,0.09,6,3,414.197965828,7,,,Train,,,0000000000000000000000000000000000000100010000000001010000000100100000000000101101100010011101010101000110100110011010011101100110101110110001011011011011110101111110,,,,,,,,,,,,,0.710525631904602,1.0,0.629745662212372,1.0,0.602378308773041,1.0,,,,,,,CCCNc1ccc2ncc(-c3ccc(C(=O)NC[C@@H]4C[C@@H](F)CN4)c(F)c3)n2n1,PZDVIDHAVYSWCP-CABCVRRESA-N,PZDVIDHAVYSWCP
3805,4211,Nc1ccc2c(=O)n(C(c3ccccc3)c3ccccc3)c(=O)n(C/C=C/COc3ccc(C(=O)O)cc3)c2c1,,,0.0,,,4.94,113.17,-4.07,2.79,7,2,533.195070964,9,,,Train,,,0000000000000000000000000000000000001000000000000000000000000000100000000010100100011000100100001111000011001100100010011110111010101011111101111101011111111110111110,,,,,,,,,,,,,0.788539588451385,1.0,0.483339488506317,0.0,0.567762315273285,1.0,,,,,,,Nc1ccc2c(=O)n(C(c3ccccc3)c3ccccc3)c(=O)n(C/C=C/COc3ccc(C(=O)O)cc3)c2c1,HOZIQVZNFYBTSZ-BQYQJAHWSA-N,HOZIQVZNFYBTSZ
3806,4212,O=C(O)CNCCCOc1cc(C(=O)Nc2c(Cl)cncc2Cl)ccc1OC(F)F,,,0.0,,,2.03,109.78,-2.42,0.03,6,3,463.051332444,11,,,Train,,,0000000000000000000000000000000000000000010000000000010000000000100000010000000101000110011100101101001101101110100011001010111110111111111101111110011111111110111110,,,,,,,,,,,,,0.721178352832794,1.0,0.418476104736328,0.0,0.465439766645432,0.0,,,,,,,O=C(O)CNCCCOc1cc(C(=O)Nc2c(Cl)cncc2Cl)ccc1OC(F)F,FNNAAFIIFUBNDP-UHFFFAOYSA-N,FNNAAFIIFUBNDP
3810,4216,COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12,,,1.0,,,4.67,63.25,-5.37,4.89,3,2,341.093104432,3,,,Train,,,0000000000000000000000000000000000001000001000000000000000000000100000000000100100000010000010100100001011100100100010001000111000101110100001111000111101011111111110,,,,,,,,,,,,,0.795881271362305,1.0,0.580073952674866,1.0,0.617747902870178,1.0,,,,,,,COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12,YBLWOZUPHDKFOT-UHFFFAOYSA-N,YBLWOZUPHDKFOT
3811,4217,O=C1CCOc2cc(OCc3ccc(F)cc3)ccc12,,,1.0,,,3.31,35.53,-4.08,3.43,3,0,272.084872496,3,,,Train,,,0000000000000000000000000000000000000000010000000000000010000000000000000000000000000010100000000100000010101000100000000000111000010100110000111110000111101010011110,,,,,,,,,,,,,0.799392580986023,1.0,0.630260229110718,1.0,0.633277535438538,1.0,,,,,,,O=C1CCOc2cc(OCc3ccc(F)cc3)ccc21,NQSKQOBQOSSMQQ-UHFFFAOYSA-N,NQSKQOBQOSSMQQ
3812,4218,CSCCNc1nn2c(-c3ccc(C(=O)NC[C@@H]4C[C@@H](F)CN4)c(F)c3)cnc2cc1,,,1.0,,,1.99,108.64,-2.73,0.21,7,3,446.170036828,8,,,Train,,,0000000000000000000000000000000000000100010000000001010000000100100000000000101101100111011111010101000110100110001110011101100110101110110001011011011011110101111110,,,,,,,,,,,,,0.758532047271729,1.0,0.63533478975296,1.0,0.5,0.0,,,,,,,CSCCNc1ccc2ncc(-c3ccc(C(=O)NC[C@@H]4C[C@@H](F)CN4)c(F)c3)n2n1,BBCVPQMXAMCWDQ-CABCVRRESA-N,BBCVPQMXAMCWDQ
3813,4219,Clc1cccc(Nc2nc(N3CCOCC3)nc3c2cnn3CC(Cl)c2ccccc2)c1,,,1.0,,,5.03,68.1,-6.13,4.58,7,1,468.123214684,6,,,Train,,,0000000000000000000000001000000000000100000000000001000010000100100000000010101100101110000001110101001011101010000001011101100010011110110001001011001010111100111110,,,,,,,,,,,,,0.722914934158325,1.0,0.629745662212372,1.0,0.633277535438538,1.0,,,,,,,Clc1cccc(Nc2nc(N3CCOCC3)nc3c2cnn3CC(Cl)c2ccccc2)c1,OTWMXTGUDMPDEI-UHFFFAOYSA-N,OTWMXTGUDMPDEI
