,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
21,29,C[C@@H](Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3OCOc3c2)c(F)c1)C(=O)O,1.0,1.0,,,,2.24,116.21,-0.4,-1.12,7,2,454.117629168,8,Test,Val,,,,0000000000000000000000000001000000000000010000000000000010000000100000010000000101100010100100011101000010101100100010011010111000100101111101111100011111111111111110,0.697465181350708,1.0,0.289050489664078,0.0,0.344327598810196,0.0,0.721390545368195,1.0,0.762091219425201,1.0,0.77946811914444,1.0,,,,,,,,,,,,,CC(Oc1ccc(CNC(=O)c2cccnc2Oc2ccc3c(c2)OCO3)c(F)c1)C(=O)O,CNIGFESSDPOCKS-UHFFFAOYSA-N,CNIGFESSDPOCKS
24,32,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,1.0,,,,,6.78,9.23,-9.43,7.18,1,0,559.62572528,2,Val,,,,,0000000000000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000000000100000100000000000111000000100000000111000010100001000011110,0.664002120494843,1.0,0.159497484564781,0.0,0.555328071117401,1.0,,,,,,,,,,,,,,,,,,,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,WHPVYXDFIXRKLN-UHFFFAOYSA-N,WHPVYXDFIXRKLN
27,36,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C,1.0,1.0,,,,0.61,92.21,-1.92,-1.44,4,2,376.134444868,2,Val,Train,,,,0000000000000000100000000000000000000011000000010000001001011000011010001000000000000001011000010000010111010001101101000001011111110001001100111111010100001011011110,0.533249139785767,1.0,0.159497484564781,0.0,0.344327598810196,0.0,0.784348726272583,1.0,0.555389702320099,1.0,0.601105153560638,1.0,,,,,,,,,,,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OS(=O)(=O)O)ccc4[C@H]3CC[C@@]21C,WLGIWVFFGMPRLM-SLHNCBLASA-N,WLGIWVFFGMPRLM
30,39,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,1.0,0.0,,,,3.63,149.69,-1.75,0.22,7,3,398.068490548,6,Test,Val,,,,0000000000000000000000000000000110000100000000000011101001111001101010001000100010000001100001001100010001000001100010101011101001101011101101111101011101011110111110,0.349823325872421,0.0,0.122747369110584,0.0,0.137841656804085,0.0,0.947203457355499,1.0,0.762091219425201,1.0,0.77946811914444,1.0,,,,,,,,,,,,,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,NCEXYHBECQHGNR-UHFFFAOYSA-N,NCEXYHBECQHGNR
36,45,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,0.0,1.0,,,0.0,0.02,213.28,-0.99,-6.37,9,6,441.139681328,9,Val,Train,,,Train,0000000000000000000000001000000000000100001000000000010000000000100000000000101101010000011100101101000111000110100010011010101000111011101101101110001011111110111110,0.0226531904190779,0.0,0.174285307526588,0.0,0.174285307526588,0.0,0.774471700191498,1.0,0.584275722503662,1.0,0.60292786359787,1.0,,,,,,,,,,,,,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,OVBPIULPVIDEAO-UHFFFAOYSA-N,OVBPIULPVIDEAO
38,47,CN1c2c(NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)[nH]c(N)nc2=O,0.0,1.0,,,0.0,-0.6,202.77,-2.94,-5.09,9,7,459.18663152,9,Test,Train,,,Train,0000000000000000000000001000000000000100001000000000110000000000100000000010101101011000011110101101000111000110100110011110101000111011111101111111011011111111111110,0.0209155920892954,0.0,0.174285307526588,0.0,0.174285307526588,0.0,0.630635559558868,1.0,0.571506440639496,1.0,0.60292786359787,1.0,,,,,,,,,,,,,CN1c2c([nH]c(N)nc2=O)NC[C@@H]1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,ZNOVTXRBGFNYRX-UEWDXFNNSA-N,ZNOVTXRBGFNYRX
39,48,COc1ccccc1Oc1c(OCCO)nc(-c2ncccn2)nc1NS(=O)(=O)c1ccc(C(C)(C)CO)cc1,0.0,,,,,2.99,174.26,-3.04,0.38,11,3,567.178769268,12,Val,,,,,0000000000000000000000000000000110000100000000000010001001111101111010011100101111000001000111101100010101001101101010011001111001111011111111111111111110111111111110,0.779944837093353,1.0,0.5,0.0,0.137841656804085,0.0,,,,,,,,,,,,,,,,,,,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)CO)cc2)nc(-c2ncccn2)nc1OCCO,FAJQMBCLPZWTQJ-UHFFFAOYSA-N,FAJQMBCLPZWTQJ
45,57,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12,0.0,,,,,1.2,144.04,-3.97,-2.6,7,2,383.097348152,4,Val,,,,,0000000100100000001000000000000000010000000010100000000000000101000000000011110010101101100100111011000011000110000010111110001100101001111101100111110111011111100110,0.158654376864433,0.0,0.295344769954681,0.0,0.444671928882599,0.0,,,,,,,,,,,,,,,,,,,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12,GXXLUDOKHXEFBQ-ZUCSDGAKSA-N,GXXLUDOKHXEFBQ
47,59,Cc1cc(C)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(C)c1Br,0.0,1.0,,,,2.07,106.94,0.41,-2.14,4,3,386.047733808,7,Val,Val,,,,0000000000000000000000000000000000000000000001000000000000000000000000000000001000001110001100100001000100100110000010000110000000111111011111010101111011111111111110,0.124985992908478,0.0,0.159497484564781,0.0,0.698193430900574,1.0,0.721390545368195,1.0,0.795379757881165,1.0,0.792567431926727,1.0,,,,,,,,,,,,,Cc1cc(C)c(NC(=O)CN(CC(=O)O)CC(=O)O)c(C)c1Br,MHPZZZZLAQGTHT-UHFFFAOYSA-N,MHPZZZZLAQGTHT
49,62,Cc1ccc(CNC(=O)c2nn(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c2C(C)C)cc1,0.0,,,,,2.27,124.68,-1.08,-0.66,6,4,511.248249408,12,Val,,,,,0000000000000000000000000000000000000000010000000001100000000100100000000110001101100010111101111001000100110110000010011111100110111111101111011111111111111111111110,0.508813083171844,1.0,0.122747369110584,0.0,0.698193430900574,1.0,,,,,,,,,,,,,,,,,,,Cc1ccc(CNC(=O)c2nn(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c2C(C)C)cc1,LRVVTOGAGAXSRZ-DHIUTWEWSA-N,LRVVTOGAGAXSRZ
