,ID,ParentSmiles,status_influx,status_efflux,status_pampa,status_bbb,Status_CNS,LogP,TPSA,LogS,LogD,HBA,HBD,MW,RotatableBonds,TrainTestVal_influx,TrainTestVal_efflux,TrainTestVal_pampa,TrainTestVal_bbb,TestValTrain_CNS,MACCS,Properties_PredictionScore_Influx,Properties_Prediction_Influx,MACCS_PredictionScore_Influx,MACCS_Prediction_Influx,Combined_PredictionScore_Influx,Combined_Prediction_Influx,Properties_PredictionScore_Efflux,Properties_Prediction_Efflux,MACCS_PredictionScore_Efflux,MACCS_Prediction_Efflux,Combined_PredictionScore_Efflux,Combined_Prediction_Efflux,Properties_PredictionScore_PAMPA,Properties_Prediction_PAMPA,MACCS_PredictionScore_PAMPA,MACCS_Prediction_PAMPA,Combined_PredictionScore_PAMPA,Combined_Prediction_PAMPA,Properties_PredictionScore_BBB,Properties_Prediction_BBB,MACCS_PredictionScore_BBB,MACCS_Prediction_BBB,Combined_PredictionScore_BBB,Combined_Prediction_BBB,papyrus_SMILES,papyrus_inchi_key,inchi_connectivity
2932,3304,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,,,1.0,,,3.89,38.77,-2.6,2.81,4,0,379.214743788,6,,,Val,,,0000000000000000000000000000000000000000000000000000000000000000000000010010000000001100000010010101000010000010100001001100111110000000110000111111110111101111111110,,,,,,,,,,,,,0.982873380184174,1.0,0.860689580440521,1.0,0.863333821296692,1.0,,,,,,,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,ADEBPBSSDYVVLD-UHFFFAOYSA-N,ADEBPBSSDYVVLD
2938,3310,CC(C)=CCc1c2O[C@@]34C(=C[C@H]5C(=O)C3(CC=C(C)C)OC[C@@H]4[C@H]5COC(=O)Cc3ccccc3)C(=O)c2c(O)cc1O,,,1.0,,,6.34,119.36,-6.66,6.26,8,2,584.241018112,8,,,Test,,,0000000000000000001000000100000000000000000000000100100010000000010000010101000000100000110000010110000010001001100100010010111110110001111110111100110111101011011110,,,,,,,,,,,,,0.842072725296021,1.0,0.817574441432953,1.0,0.813146770000458,1.0,,,,,,,CC(C)=CCc1c(O)cc(O)c2c1O[C@@]13C(=CC4C(=O)C1(CC=C(C)C)OC[C@@H]3[C@H]4COC(=O)Cc1ccccc1)C2=O,CTSIBWDVPNXDDY-DJPJKORESA-N,CTSIBWDVPNXDDY
2943,3315,CN(C)c1ccc(-c2ccc3c(=O)c4c(CCCC4)[nH]c3c2)cc1,,,1.0,,,4.88,32.34,-5.78,5.41,2,1,318.173213324,2,,,Test,,,0000000000000000000000000000000000000000000000000000000000000100100000000100000000001100011010001100000110000010100001001100101010001010100001111011101101010101111110,,,,,,,,,,,,,0.110616609454155,0.0,0.8179771900177,1.0,0.584545969963074,1.0,,,,,,,CN(C)c1ccc(-c2ccc3c(=O)c4c([nH]c3c2)CCCC4)cc1,KHASQPUENQWSFM-UHFFFAOYSA-N,KHASQPUENQWSFM
2945,3317,COc1cc2c(N3CCN(C)CC3)nc(N(C)C)nc2cc1OC1CCCC1,,,1.0,,,3.04,53.96,-1.46,0.64,7,0,385.247775232,5,,,Val,,,0000000000000000000000001000000000000100000000000000000000000100100000010110101100001100000010011101000011000010101101011100111010011010110011111011110110011111111110,,,,,,,,,,,,,0.97442638874054,1.0,0.860689580440521,1.0,0.725404143333435,1.0,,,,,,,COc1cc2c(N3CCN(C)CC3)nc(N(C)C)nc2cc1OC1CCCC1,ZZGVWTLFUIXYPH-UHFFFAOYSA-N,ZZGVWTLFUIXYPH
2948,3320,CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccc(OC)cc2)s1,,,1.0,,,2.78,88.79,-4.47,2.94,7,0,369.114712468,6,,,Test,,,0000000000000000000000000000000110010100000000100000000000000100101000000010111110100001000011110001000001011000110000111111111010011010110001111101110111111111111110,,,,,,,,,,,,,0.976418793201447,1.0,0.825714707374573,1.0,0.863333821296692,1.0,,,,,,,CCOC(=O)C/N=c1\nc(-c2ccccc2)n(-c2ccc(OC)cc2)s1,KPMHCZAGUIRIMS-FMQUCBEESA-N,KPMHCZAGUIRIMS
2950,3322,O=C(NCCCCCCCCCCNc1c2CCCCc2nc2ccccc12)c1cc(=O)c2cc(O)ccc2o1,,,1.0,,,5.44,100.55,-6.78,4.94,6,3,541.294056728,13,,,Val,,,0000000000000000000000000000000000000000000000000000000010000000100000010000000101000000111100100101000110000110100011011000101110101011111101111110001111111110111110,,,,,,,,,,,,,0.970005691051483,1.0,0.852277636528015,1.0,0.863333821296692,1.0,,,,,,,O=C(NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc(=O)c2cc(O)ccc2o1,GQYKIJZPMPGPIM-UHFFFAOYSA-N,GQYKIJZPMPGPIM
2954,3327,O=c1c2c(CCCC2)[nH]c2cc(-c3c(F)cccc3F)ccc12,,,1.0,,,4.63,29.1,-6.12,5.82,1,1,311.11217054,1,,,Val,,,0000000000000000000000000000000000000000010000000000000000000100100000000000000000000010011000001100000110100010100001001000101010000100100000111010011101010000111110,,,,,,,,,,,,,0.800971806049347,1.0,0.8179771900177,1.0,0.584545969963074,1.0,,,,,,,O=c1c2c([nH]c3cc(-c4c(F)cccc4F)ccc13)CCCC2,QQYBDUANIILMTG-UHFFFAOYSA-N,QQYBDUANIILMTG
2956,3329,CC(C)(C)c1ccc(-c2ccc3c(NCCCNCc4ccc5OCOc5c4)ccnc3c2)cc1,,,1.0,,,5.2,55.41,-3.72,3.95,5,2,467.257277296,8,,,Val,,,0000000000000000000000000001000000000000000000000000100010000100110000010100000101100100010000010101000110001011100001011010100110101010110011011010101110111111111110,,,,,,,,,,,,,0.978403210639954,1.0,0.860689580440521,1.0,0.863333821296692,1.0,,,,,,,CC(C)(C)c1ccc(-c2ccc3c(NCCCNCc4ccc5c(c4)OCO5)ccnc3c2)cc1,PJTQNXRHUUZTDD-UHFFFAOYSA-N,PJTQNXRHUUZTDD
2957,3330,COc1cc2c(cc1Cl)c(=O)c1c(CCS(=O)(=O)C1)[nH]2,,,0.0,,,2.55,80.85,-5.71,2.99,4,1,313.017556544,1,,,Val,,,0000000000000000000000000000000000010000000000000010001001011000101000001000000000000111010010001100011110100011100000011001111011010101110100111111011111011011111110,,,,,,,,,,,,,0.699528992176056,1.0,0.860689580440521,1.0,0.863333821296692,1.0,,,,,,,COc1cc2[nH]c3c(c(=O)c2cc1Cl)CS(=O)(=O)CC3,FEKJDWKPXZZENU-UHFFFAOYSA-N,FEKJDWKPXZZENU
2962,3335,O=C(NC[C@@H]1C[C@@H](F)CN1)c1ccc(-c2cnc3ccc(NCC4CC4)nn23)cc1F,,,1.0,,,1.74,83.34,-3.14,0.22,6,3,426.197965828,7,,,Val,,,0000000000000000000001000000000000000100010000000001010000000100100000000000101101100010011101010101000110100110000010011101100110101110110001011001011011110100111110,,,,,,,,,,,,,0.977003216743469,1.0,0.860689580440521,1.0,0.817574441432953,1.0,,,,,,,O=C(NC[C@@H]1C[C@@H](F)CN1)c1ccc(-c2cnc3ccc(NCC4CC4)nn23)cc1F,ZUWSKHFILZZICB-CVEARBPZSA-N,ZUWSKHFILZZICB
2963,3336,COC(=O)C1CCN(c2ccc3c(=O)n(C(c4ccccc4)c4ccccc4)c(=O)n(C/C=C/COc4ccc(C(=O)O)cc4)c3c2)CC1,,,0.0,,,5.54,116.69,-4.88,3.67,9,1,659.263150524,11,,,Val,,,0000000000000000000000000000000000001000000000000000000000000100100000000010100100001100100110001111000011011110100011011110111010001011111101111111010111111111111110,,,,,,,,,,,,,0.701623022556305,1.0,0.540451943874359,1.0,0.25408872961998,0.0,,,,,,,COC(=O)C1CCN(c2ccc3c(=O)n(C(c4ccccc4)c4ccccc4)c(=O)n(C/C=C/COc4ccc(C(=O)O)cc4)c3c2)CC1,IQFLLOYPBGABOZ-CMDGGOBGSA-N,IQFLLOYPBGABOZ
2964,3337,CCCCCCOc1ccc2C(=O)C(CN(C)C)COc2c1,,,1.0,,,4.01,38.77,-3.28,3.08,4,0,305.199093724,8,,,Val,,,0000000000000000000000000000000000000000000000000000000010000000000000000100000000001100100010001101000010011000111101000100011110010000110010111111110111101111111110,,,,,,,,,,,,,0.982873380184174,1.0,0.860689580440521,1.0,0.863333821296692,1.0,,,,,,,CCCCCCOc1ccc2c(c1)OCC(CN(C)C)C2=O,IOTNKWHDDKNWCJ-UHFFFAOYSA-N,IOTNKWHDDKNWCJ
2967,3340,O=c1c2c(CCC2)[nH]c2cc(C(F)(F)F)ccc12,,,1.0,,,4.16,29.1,-4.43,4.43,1,1,253.0714486,0,,,Test,,,0000000000000000000000000000000000000000010000000000000000000000100000000000000000000000011000011100000111100011100001001000101000000100100000111010001101010000111110,,,,,,,,,,,,,0.982873380184174,1.0,0.8179771900177,1.0,0.863333821296692,1.0,,,,,,,O=c1c2c([nH]c3cc(C(F)(F)F)ccc13)CCC2,WFMYOWVLTUNEOK-UHFFFAOYSA-N,WFMYOWVLTUNEOK
